"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"September 28, 2015",Ohio,"Cincinnati (Evanston)","1800 block of Hewitt Avenue",0,5,N/A
"September 28, 2015",Illinois,Chicago,"300 block of West 42nd Street",3,2,N/A
"September 28, 2015",Illinois,Chicago,"5300 block of South Aberdeen Street",2,3,N/A
"September 28, 2015",Ohio,Dayton,"1921 Oakridge",0,4,N/A
"September 27, 2015",Georgia,Greenville,"1140 Hill Haven Road",0,10,N/A
"September 27, 2015",Illinois,Chicago,"5200 block of South Justine",0,4,N/A
"September 27, 2015",Missouri,"Kansas City","1700 E. 18th St.",0,4,N/A
"September 25, 2015",Illinois,Danville,"1300 block of May Street",0,4,N/A
"September 24, 2015",Illinois,Chicago,"5100 block of South Morgan Street",0,5,N/A
"September 23, 2015",Louisiana,Shreveport,"2900 Block of Peach Street",0,5,N/A
"September 23, 2015",Florida,"Fort Myers","Dale Street and Veronica S. Shoemaker Boulevard",0,4,N/A
"September 23, 2015",Georgia,Norcross,"1300 block of Reddington Lane",1,3,N/A
"September 20, 2015",Pennsylvania,Philadelphia,"900 block of Pratt Street",1,3,N/A
"September 20, 2015",Illinois,Chicago,"5700 block of South LaSalle",1,5,N/A
"September 20, 2015",Oklahoma,Tulsa,"Pine and Yale",0,6,N/A
"September 19, 2015",Indiana,Indianapolis,"3900 block of Graceland Avenue",1,3,N/A
"September 17, 2015","South Dakota",Platte,"36705 379th Street",6,0,N/A
"September 17, 2015",Michigan,Albion,"500 block of W. Broadwell Street",0,4,N/A
"September 15, 2015","New Jersey",Newark,"Irvine Turner Boulevard and West Kinney Street",0,4,N/A
"September 13, 2015",Florida,Ocala,"1910 South Pine Avenue",1,5,N/A
"September 12, 2015",Louisiana,Shreveport,"1500 block of Clanton Street",0,4,N/A
"September 12, 2015","New York",Rochester,"36 Woodward Street",2,4,N/A
"September 12, 2015",Minnesota,Minneapolis,"1st Ave. and N. 5th St.",0,6,N/A
"September 12, 2015",Minnesota,Minneapolis,"1200 block of 22nd Ave. N.",1,3,N/A
"September 11, 2015","North Carolina",Charlotte,"1000 North Carolina Music Factory Blvd.",0,5,N/A
"September 10, 2015",Minnesota,"Excelsior (Greenwood)","Channel Drive",5,0,N/A
"September 8, 2015",Georgia,Berlin,N/A,0,4,N/A
"September 8, 2015",Illinois,Chicago,"56th and Green",0,4,N/A
"September 7, 2015",Indiana,Gary,"9300 block of Sunrise",2,4,N/A
"September 7, 2015",Colorado,Denver,"1909 Blake Street",0,4,N/A
"September 5, 2015","North Carolina",Charlotte,"6800 block of Fieldvale Place",1,3,N/A
"September 5, 2015",Florida,"Daytona Beach","300 block of Pearl Street",0,4,N/A
"September 5, 2015",Nevada,"Las Vegas","5000 Block of Hollywood Boulevard",1,3,N/A
"September 5, 2015",Missouri,Columbia,"1509 Ashley Street",0,4,N/A
"August 30, 2015",Tennessee,Memphis,"3300 block of Sobota Circle",1,4,N/A
"August 29, 2015",Tennessee,Bristol,"618 Henson Road",3,2,N/A
"August 29, 2015",Texas,Tyler,"638 ENE Loop 323",1,3,N/A
"August 28, 2015","New York",Brooklyn,"589 Flatbush Avenue",1,3,N/A
"August 27, 2015",California,Salinas,"928 Blanco Circle",2,2,N/A
"August 26, 2015",Minnesota,"Minneapolis (Brooklyn Center)","5000 block of Drew Avenue North",0,4,N/A
"August 26, 2015",Illinois,Chicago,"3025 W. Van Buren Ave",2,2,N/A
"August 26, 2015",Florida,"West Palm Beach","800 block of 19th Street",2,2,N/A
"August 25, 2015",Louisiana,"New Orleans","Fern Street and Olive Street",1,3,N/A
"August 23, 2015",California,Modesto,"1100 block of Kansas Avenue",1,7,N/A
"August 22, 2015",Florida,"Orlando (Pine Hills)","State Road 408",0,4,N/A
"August 22, 2015","New Mexico",Roswell,"302 East Reed Street",3,1,N/A
"August 21, 2015","North Carolina",Durham,"2700 block of Hinson Drive",0,8,N/A
"August 21, 2015",Ohio,Cincinnati,"Mathis and Prentice",2,5,N/A
"August 20, 2015",Texas,"Grulla (La Grulla)","FM 2360",2,2,N/A
"August 19, 2015","New York",Rochester,"500 Genesee Street",3,4,N/A
"August 16, 2015",Texas,"Fort Worth","3651 Sycamore School Rd",0,6,N/A
"August 16, 2015",Illinois,Chicago,"5400 block of West Division Street",0,4,N/A
"August 16, 2015","South Carolina",Bennettsville,"Highway 38N",0,5,N/A
"August 15, 2015",Pennsylvania,Pittsburgh,"West Prospect Avenue",1,3,N/A
"August 15, 2015",California,"Los Angeles","57th Street and South Normandie Avenue",0,4,N/A
"August 15, 2015","South Carolina",Orangeburg,"2868 Bamberg Road",1,3,N/A
"August 10, 2015",California,"Long Beach","1700 block of East 10th Street",0,4,N/A
"August 9, 2015",Mississippi,Forest,"Poplar Street",1,3,N/A
"August 9, 2015",Michigan,Detroit,"15200 block of Hazelridge",1,3,N/A
"August 9, 2015",Missouri,"Kansas City","40th Street and Pennsylvania Avenue",0,4,N/A
"August 8, 2015","North Carolina",Gastonia,"4908 Greenwood Drive",2,3,N/A
"August 8, 2015",Arkansas,Blytheville,"833 Anderson Street",1,11,N/A
"August 8, 2015",Texas,Houston,"2211 Falling Oaks",8,0,N/A
"August 7, 2015",Vermont,"Barre (Berlin)","3182 Airport Road",4,0,N/A
"August 6, 2015","South Carolina",Columbia,"1505 Garden Plaza",0,4,N/A
"August 4, 2015",Missouri,"Saint Louis","2500 block of Semple",1,4,N/A
"August 3, 2015","New York",Brooklyn,"98 Dwight Street",0,5,N/A
"August 2, 2015","New York",Brooklyn,"Stanley Avenue and Crescent Street",0,9,N/A
"August 2, 2015",Maryland,Baltimore,"2700 block of Garrison Avenue",0,7,N/A
"August 2, 2015",Illinois,Chicago,"4800 block of West Kamerling Avenue",1,4,N/A
"August 2, 2015",Georgia,Savannah,"Barnard Street",0,5,N/A
"August 2, 2015",Illinois,Chicago,"6700 block of South Winchester Avenue",0,4,N/A
"August 1, 2015",Florida,Orlando,"5801 Shenandoah Way",0,4,N/A
"July 30, 2015",Pennsylvania,Pittsburgh,"Brushton Avenue",0,4,N/A
"July 27, 2015",Illinois,Rockford,"900 block of Kent Street",0,5,N/A
"July 26, 2015",Missouri,"Kansas City","Thompson and Colorado",2,3,N/A
"July 26, 2015",Louisiana,"New Orleans","Piety and Treasure street",0,4,N/A
"July 25, 2015",Virginia,Hopewell,"500 block of N. 7th Ave",0,4,N/A
"July 24, 2015",Pennsylvania,Erie,"200 block of West 29th Street",2,4,N/A
"July 23, 2015",Louisiana,Lafayette,"3141 Johnson Street",3,9,N/A
"July 22, 2015",Georgia,Suwanee,"5500 block of Old Atlanta Road",5,0,N/A
"July 21, 2015",Florida,"Miami Gardens","Northwest 25th Avenue and Miami Gardens Drive",1,3,N/A
"July 20, 2015","New York",Bronx,"E. 153rd St. and the Grand Concourse",0,6,N/A
"July 19, 2015",Virginia,Suffolk,"100 block of North Capitol Street",0,4,N/A
"July 19, 2015",Kentucky,Louisville,"2928 W Kentucky St",0,6,N/A
"July 19, 2015","North Carolina","Rocky Mount","Interstate 64 and Raliegh Street",0,4,N/A
"July 18, 2015",California,"San Diego","200 block of South Bancroft Street",0,4,N/A
"July 18, 2015",California,"Santa Paula","Ojai-Santa Paula Street",0,5,N/A
"July 18, 2015",Oregon,Salem,"1550 Weston Ct NE",1,4,N/A
"July 18, 2015",Louisiana,"Baton Rouge","300 Block of Brice Street",2,2,N/A
"July 17, 2015",Illinois,Chicago,"4400 block of W. Maypole",0,5,N/A
"July 17, 2015",Ohio,"Cincinnati (Westwood)","3100 block of Sunshine Avenue",0,4,N/A
"July 16, 2015",Tennessee,Chattanooga,"4051 Amnicola Highway",6,2,N/A
"July 16, 2015",Texas,Dallas,"Singleton and Hampton",0,5,N/A
"July 15, 2015",Georgia,Atlanta,"500 block of Center Hill Avenue",0,5,N/A
"July 15, 2015",Maryland,Baltimore,"3500 block of West Garrison Boulevard",1,3,N/A
