Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
76055,STANDARD,Itasca,TX,PRIMARY,32.15,-97.14,NA-US-TX-ITASCA,False,1132,2157,35816601
76458,STANDARD,Jacksboro,TX,PRIMARY,33.22,-98.15,NA-US-TX-JACKSBORO,False,2258,4174,80665168
79528,STANDARD,Jayton,TX,PRIMARY,33.25,-100.57,NA-US-TX-JAYTON,False,266,471,7266736
76459,STANDARD,Jermyn,TX,PRIMARY,33.25,-98.39,NA-US-TX-JERMYN,False,,,
76058,STANDARD,Joshua,TX,PRIMARY,32.46,-97.38,NA-US-TX-JOSHUA,False,7251,13674,268244197
76849,STANDARD,Junction,TX,PRIMARY,30.48,-99.77,NA-US-TX-JUNCTION,False,1769,3164,41493010
76247,STANDARD,Justin,TX,PRIMARY,33.08,-97.29,NA-US-TX-JUSTIN,False,5302,10412,265650991
76369,PO BOX,Kamay,TX,PRIMARY,33.85,-98.82,NA-US-TX-KAMAY,False,,,
76059,STANDARD,Keene,TX,PRIMARY,32.39,-97.33,NA-US-TX-KEENE,False,1918,3540,56418169
76244,STANDARD,Keller,TX,PRIMARY,32.93,-97.22,NA-US-TX-KELLER,False,3076,5891,169727074
76248,STANDARD,Keller,TX,PRIMARY,32.93,-97.22,NA-US-TX-KELLER,False,34299,70353,
76060,STANDARD,Kennedale,TX,PRIMARY,32.64,-97.21,NA-US-TX-KENNEDALE,False,3234,5925,152428234
76939,PO BOX,Knickerbocker,TX,PRIMARY,31.26,-100.62,NA-US-TX-KNICKERBOCKER,False,,,
79529,STANDARD,Knox City,TX,PRIMARY,33.41,-99.81,NA-US-TX-KNOX CITY,False,546,1032,14141021
79052,STANDARD,Kress,TX,PRIMARY,34.36,-101.74,NA-US-TX-KRESS,False,561,1039,12949097
76249,STANDARD,Krum,TX,PRIMARY,33.26,-97.22,NA-US-TX-KRUM,False,3151,6107,144666459
79239,STANDARD,Lakeview,TX,PRIMARY,34.67,-100.69,NA-US-TX-LAKEVIEW,False,,,
79331,STANDARD,Lamesa,TX,PRIMARY,32.73,-101.95,NA-US-TX-LAMESA,False,4754,8722,130740519
79530,STANDARD,Lawn,TX,PRIMARY,32.13,-99.75,NA-US-TX-LAWN,False,270,484,8055570
79053,PO BOX,Lazbuddie,TX,PRIMARY,34.39,-102.61,NA-US-TX-LAZBUDDIE,False,,,
79054,PO BOX,Lefors,TX,PRIMARY,35.43,-100.8,NA-US-TX-LEFORS,False,288,531,9763948
79336,STANDARD,Levelland,TX,PRIMARY,33.57,-102.36,NA-US-TX-LEVELLAND,False,6896,12753,236728752
79338,PO BOX,Levelland,TX,PRIMARY,33.57,-102.36,NA-US-TX-LEVELLAND,False,,,
76061,PO BOX,Lillian,TX,PRIMARY,32.42,-97.2,NA-US-TX-LILLIAN,False,349,656,12435496
76250,STANDARD,Lindsay,TX,PRIMARY,33.63,-97.21,NA-US-TX-LINDSAY,False,582,1081,25507866
76461,PO BOX,Lingleville,TX,PRIMARY,32.26,-98.36,NA-US-TX-LINGLEVILLE,False,,,
76462,STANDARD,Lipan,TX,PRIMARY,32.51,-98.04,NA-US-TX-LIPAN,False,1138,2196,53891051
79056,STANDARD,Lipscomb,TX,PRIMARY,36.23,-100.27,NA-US-TX-LIPSCOMB,False,,,
79326,STANDARD,Fieldton,TX,PRIMARY,34.03,-102.22,NA-US-TX-FIELDTON,False,,,
79339,STANDARD,Littlefield,TX,PRIMARY,33.91,-102.33,NA-US-TX-LITTLEFIELD,False,3052,5605,77011483
79221,PO BOX,Aiken,TX,PRIMARY,34.14,-101.52,NA-US-TX-AIKEN,False,,,
79241,STANDARD,Lockney,TX,PRIMARY,34.12,-101.44,NA-US-TX-LOCKNEY,False,1043,2012,26122162
76852,STANDARD,Lohn,TX,PRIMARY,31.32,-99.4,NA-US-TX-LOHN,False,,,
76853,STANDARD,Lometa,TX,PRIMARY,31.21,-98.39,NA-US-TX-LOMETA,False,624,1146,14185397
76854,STANDARD,London,TX,PRIMARY,30.67,-99.57,NA-US-TX-LONDON,False,,,
79342,STANDARD,Loop,TX,PRIMARY,32.92,-102.42,NA-US-TX-LOOP,False,,,
79532,STANDARD,Loraine,TX,PRIMARY,32.4,-100.71,NA-US-TX-LORAINE,False,360,672,10296690
79343,STANDARD,Lorenzo,TX,PRIMARY,33.67,-101.53,NA-US-TX-LORENZO,False,637,1176,16869878
76460,STANDARD,Loving,TX,PRIMARY,33.27,-98.48,NA-US-TX-LOVING,False,,,
76855,PO BOX,Lowake,TX,PRIMARY,31.56,-100.07,NA-US-TX-LOWAKE,False,,,
79401,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,1879,2679,38705747
79402,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,,,
79403,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,6601,11588,141224358
79404,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,4060,7097,86584786
79406,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,,,
79407,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,7579,12997,261220587
79408,PO BOX,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,752,1218,21459989
79409,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,,,
79410,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,3572,5659,117614788
79411,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,2958,4878,58339770
79412,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,6320,10865,139738770
79413,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,9594,16176,282180585
79414,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,7448,12106,196992350
79415,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,6733,11193,140350235
79416,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,12812,21806,477822066
79423,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,14676,26325,589260058
79424,STANDARD,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,17537,32403,917331139
79430,UNIQUE,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,,,
79452,PO BOX,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,362,603,8524197
79453,PO BOX,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,261,419,9136860
79457,UNIQUE,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,,,
79464,PO BOX,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,505,857,20729153
79490,PO BOX,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,289,450,9007519
79491,UNIQUE,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,,,
79493,PO BOX,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,602,958,18523386
79499,PO BOX,Lubbock,TX,PRIMARY,33.57,-101.87,NA-US-TX-LUBBOCK,False,,,
79533,STANDARD,Lueders,TX,PRIMARY,32.79,-99.62,NA-US-TX-LUEDERS,False,,,
79243,STANDARD,Mcadoo,TX,PRIMARY,33.77,-100.96,NA-US-TX-MCADOO,False,,,
79534,STANDARD,Mc Caulley,TX,PRIMARY,32.79,-100.22,NA-US-TX-MC CAULLEY,False,,,
79057,STANDARD,Mclean,TX,PRIMARY,35.23,-100.6,NA-US-TX-MCLEAN,False,518,957,13539225
76063,STANDARD,Mansfield,TX,PRIMARY,32.56,-97.11,NA-US-TX-MANSFIELD,False,25439,50138,1506826608
79344,STANDARD,Maple,TX,PRIMARY,33.84,-102.89,NA-US-TX-MAPLE,False,,,
79535,STANDARD,Maryneal,TX,PRIMARY,32.23,-100.45,NA-US-TX-MARYNEAL,False,,,
76856,STANDARD,Mason,TX,PRIMARY,30.74,-99.23,NA-US-TX-MASON,False,1657,2950,35505918
79244,STANDARD,Matador,TX,PRIMARY,34.01,-100.82,NA-US-TX-MATADOR,False,321,588,7445652
76857,STANDARD,May,TX,PRIMARY,31.97,-98.91,NA-US-TX-MAY,False,720,1298,18423194
76064,STANDARD,Maypearl,TX,PRIMARY,32.31,-97.0,NA-US-TX-MAYPEARL,False,819,1638,38288996
79345,STANDARD,Meadow,TX,PRIMARY,33.33,-102.2,NA-US-TX-MEADOW,False,380,743,10103533
76370,PO BOX,Megargel,TX,PRIMARY,33.45,-98.92,NA-US-TX-MEGARGEL,False,,,
76858,STANDARD,Melvin,TX,PRIMARY,31.19,-99.58,NA-US-TX-MELVIN,False,,,
79245,STANDARD,Memphis,TX,PRIMARY,34.72,-100.54,NA-US-TX-MEMPHIS,False,992,1853,22094630
76859,STANDARD,Menard,TX,PRIMARY,30.91,-99.78,NA-US-TX-MENARD,False,886,1590,19354381
76940,STANDARD,Mereta,TX,PRIMARY,31.45,-100.14,NA-US-TX-MERETA,False,,,
79536,STANDARD,Merkel,TX,PRIMARY,32.46,-100.01,NA-US-TX-MERKEL,False,2243,4189,73259723
76941,STANDARD,Mertzon,TX,PRIMARY,31.26,-100.82,NA-US-TX-MERTZON,False,653,1174,23168505
79059,STANDARD,Miami,TX,PRIMARY,35.69,-100.64,NA-US-TX-MIAMI,False,358,671,12460217
76065,STANDARD,Midlothian,TX,PRIMARY,32.49,-96.99,NA-US-TX-MIDLOTHIAN,False,12414,24588,663638197
76861,STANDARD,Miles,TX,PRIMARY,31.6,-100.18,NA-US-TX-MILES,False,888,1637,26806142
76862,STANDARD,Millersview,TX,PRIMARY,31.4,-99.75,NA-US-TX-MILLERSVIEW,False,,,
76066,STANDARD,Millsap,TX,PRIMARY,32.75,-98.0,NA-US-TX-MILLSAP,False,1338,2481,51366338
76067,STANDARD,Mineral Wells,TX,PRIMARY,32.82,-98.07,NA-US-TX-MINERAL WELLS,False,8072,14701,248209385
76068,PO BOX,Mineral Wells,TX,PRIMARY,32.82,-98.07,NA-US-TX-MINERAL WELLS,False,586,1024,23050374
76463,STANDARD,Mingus,TX,PRIMARY,32.53,-98.42,NA-US-TX-MINGUS,False,,,
79061,STANDARD,Mobeetie,TX,PRIMARY,35.53,-100.44,NA-US-TX-MOBEETIE,False,,,
76251,STANDARD,Montague,TX,PRIMARY,33.67,-97.72,NA-US-TX-MONTAGUE,False,343,632,11462329
76464,STANDARD,Moran,TX,PRIMARY,32.54,-99.16,NA-US-TX-MORAN,False,,,
76465,PO BOX,Morgan Mill,TX,PRIMARY,32.4,-98.17,NA-US-TX-MORGAN MILL,False,,,
79062,STANDARD,Morse,TX,PRIMARY,36.06,-101.47,NA-US-TX-MORSE,False,,,
79346,STANDARD,Morton,TX,PRIMARY,33.72,-102.75,NA-US-TX-MORTON,False,1027,1895,23855969
76252,STANDARD,Muenster,TX,PRIMARY,33.65,-97.37,NA-US-TX-MUENSTER,False,1371,2474,52152397
79347,STANDARD,Muleshoe,TX,PRIMARY,34.22,-102.72,NA-US-TX-MULESHOE,False,2776,5353,73678060
76864,STANDARD,Mullin,TX,PRIMARY,31.55,-98.66,NA-US-TX-MULLIN,False,311,553,5538201
76371,STANDARD,Munday,TX,PRIMARY,33.44,-99.62,NA-US-TX-MUNDAY,False,693,1262,16312511
76253,PO BOX,Myra,TX,PRIMARY,33.62,-97.31,NA-US-TX-MYRA,False,,,
79063,STANDARD,Nazareth,TX,PRIMARY,34.54,-102.1,NA-US-TX-NAZARETH,False,321,615,10414340
76070,STANDARD,Nemo,TX,PRIMARY,32.28,-97.64,NA-US-TX-NEMO,False,,,
76071,STANDARD,Newark,TX,PRIMARY,32.99,-97.47,NA-US-TX-NEWARK,False,1361,2590,58497988
76372,STANDARD,Newcastle,TX,PRIMARY,33.19,-98.74,NA-US-TX-NEWCASTLE,False,397,722,10909623
79350,PO BOX,New Deal,TX,PRIMARY,33.73,-101.83,NA-US-TX-NEW DEAL,False,342,622,10722453
76255,STANDARD,Nocona,TX,PRIMARY,33.78,-97.73,NA-US-TX-NOCONA,False,2348,4295,72492230
79537,STANDARD,Nolan,TX,PRIMARY,32.27,-100.24,NA-US-TX-NOLAN,False,,,
76865,STANDARD,Norton,TX,PRIMARY,31.87,-100.12,NA-US-TX-NORTON,False,,,
79538,STANDARD,Novice,TX,PRIMARY,31.98,-99.62,NA-US-TX-NOVICE,False,,,
79539,STANDARD,O Brien,TX,PRIMARY,33.38,-99.84,NA-US-TX-O BRIEN,False,,,
79351,STANDARD,Odonnell,TX,PRIMARY,33.0,-101.82,NA-US-TX-ODONNELL,False,573,1076,13006690
76373,STANDARD,Oklaunion,TX,PRIMARY,34.13,-99.13,NA-US-TX-OKLAUNION,False,,,
76466,PO BOX,Olden,TX,PRIMARY,32.42,-98.73,NA-US-TX-OLDEN,False,,,
79540,STANDARD,Old Glory,TX,PRIMARY,33.12,-100.05,NA-US-TX-OLD GLORY,False,,,
76374,STANDARD,Olney,TX,PRIMARY,33.36,-98.75,NA-US-TX-OLNEY,False,1812,3356,54614960
79064,STANDARD,Olton,TX,PRIMARY,34.17,-102.13,NA-US-TX-OLTON,False,1049,2019,23811811
79541,STANDARD,Ovalo,TX,PRIMARY,32.17,-99.8,NA-US-TX-OVALO,False,323,618,12006556
76943,STANDARD,Ozona,TX,PRIMARY,30.7,-101.2,NA-US-TX-OZONA,False,1681,3170,59913035
79248,STANDARD,Paducah,TX,PRIMARY,34.01,-100.3,NA-US-TX-PADUCAH,False,657,1199,14323236
76866,STANDARD,Paint Rock,TX,PRIMARY,31.5,-99.92,NA-US-TX-PAINT ROCK,False,,,
76484,STANDARD,Palo Pinto,TX,PRIMARY,32.75,-98.28,NA-US-TX-PALO PINTO,False,417,792,13603010
76467,PO BOX,Paluxy,TX,PRIMARY,32.35,-97.89,NA-US-TX-PALUXY,False,,,
79065,STANDARD,Pampa,TX,PRIMARY,35.54,-100.96,NA-US-TX-PAMPA,False,8087,15161,294245809
79066,PO BOX,Pampa,TX,PRIMARY,35.54,-100.96,NA-US-TX-PAMPA,False,528,912,19798213
79068,STANDARD,Panhandle,TX,PRIMARY,35.34,-101.38,NA-US-TX-PANHANDLE,False,1348,2569,52247221
